Flops of dydensenet74: original 2049.913552 M, target 528.877696416 M, possible 539.135152 M, main 9.15528 M, dgc 2040.758272 M, mask 19.790304 M
Flops of dydensenet74: original 2049.913552 M, target 528.877696416 M, possible 539.135152 M, main 9.15528 M, dgc 2040.758272 M, mask 19.790304 M
Epoch 000/120: (66.8880 87.8980) | 2068.9446 M (2039.9989 -0.0000) || train (51.5425 74.3620) | 1856.9717 M (1828.1606 -0.1346)| loss 3.0317 || lr 0.075000-0.015000-0.015000 | Time 2021-08-16 00:12:00
Epoch 000/120: (66.8880 87.8980) | 2068.9446 M (2039.9989 -0.0000) || train (51.5519 74.3415) | 1856.9699 M (1828.1586 -0.1344)| loss 3.0303 || lr 0.075000-0.015000-0.015000 | Time 2021-08-16 00:12:00
Epoch 001/120: (69.4880 89.4780) | 2068.8700 M (2039.9243 -0.0000) || train (62.6191 83.7757) | 1895.9003 M (1867.0278 -0.0731)| loss 2.4980 || lr 0.074987-0.014997-0.014997 | Time 2021-08-16 01:00:58
Epoch 001/120: (69.4880 89.4780) | 2068.8700 M (2039.9243 -0.0000) || train (62.5041 83.7145) | 1895.9029 M (1867.0304 -0.0732)| loss 2.4997 || lr 0.074987-0.014997-0.014997 | Time 2021-08-16 01:00:58
Epoch 002/120: (70.7420 90.1980) | 2068.8194 M (2039.8738 -0.0000) || train (65.3974 85.6092) | 1919.1576 M (1890.2568 -0.0449)| loss 2.3803 || lr 0.074949-0.014990-0.014990 | Time 2021-08-16 01:49:51
Epoch 002/120: (70.7420 90.1980) | 2068.8194 M (2039.8738 -0.0000) || train (65.4184 85.5713) | 1919.1554 M (1890.2545 -0.0448)| loss 2.3794 || lr 0.074949-0.014990-0.014990 | Time 2021-08-16 01:49:51
Epoch 003/120: (71.5360 90.4540) | 2068.6325 M (2039.6869 -0.0000) || train (66.8986 86.4631) | 1935.9563 M (1907.0401 -0.0294)| loss 2.3204 || lr 0.074884-0.014977-0.014977 | Time 2021-08-16 02:38:48
Epoch 003/120: (71.5360 90.4540) | 2068.6325 M (2039.6869 -0.0000) || train (66.8773 86.5229) | 1935.9533 M (1907.0369 -0.0293)| loss 2.3183 || lr 0.074884-0.014977-0.014977 | Time 2021-08-16 02:38:48
Epoch 004/120: (71.6240 90.5560) | 2057.2974 M (2028.3518 -0.0000) || train (67.6812 86.9789) | 1934.9192 M (1905.9979 -0.0244)| loss 2.2880 || lr 0.074795-0.014959-0.014959 | Time 2021-08-16 03:27:43
Epoch 004/120: (71.6240 90.5560) | 2057.2974 M (2028.3518 -0.0000) || train (67.8287 87.0240) | 1934.9186 M (1905.9974 -0.0244)| loss 2.2838 || lr 0.074795-0.014959-0.014959 | Time 2021-08-16 03:27:43
Epoch 005/120: (71.6540 90.6340) | 2033.1968 M (2004.2512 -0.0000) || train (68.1561 87.2409) | 1909.8353 M (1880.9191 -0.0295)| loss 2.2677 || lr 0.074679-0.014936-0.014936 | Time 2021-08-16 04:16:35
Epoch 005/120: (71.6540 90.6340) | 2033.1968 M (2004.2512 -0.0000) || train (68.1541 87.2134) | 1909.8349 M (1880.9188 -0.0296)| loss 2.2702 || lr 0.074679-0.014936-0.014936 | Time 2021-08-16 04:16:35
Epoch 006/120: (71.2600 90.6480) | 2002.7406 M (1973.7993 -0.0043) || train (68.5239 87.5226) | 1884.4526 M (1855.5541 -0.0471)| loss 2.2531 || lr 0.074538-0.014908-0.014908 | Time 2021-08-16 05:05:32
Epoch 006/120: (71.2600 90.6480) | 2002.7406 M (1973.7993 -0.0043) || train (68.5710 87.4597) | 1884.4512 M (1855.5528 -0.0472)| loss 2.2518 || lr 0.074538-0.014908-0.014908 | Time 2021-08-16 05:05:32
