Flops of dymobilenetv2: original 300.774272 M, target 188.88624281600002 M, possible 214.33296 M, main 182.659968 M, dgc 120.416128 M, mask 1.56896 M
Flops of dymobilenetv2: original 300.774272 M, target 188.88624281600002 M, possible 214.33296 M, main 182.659968 M, dgc 120.416128 M, mask 1.56896 M
Epoch 000/150: (60.8500 83.6620) | 304.5912 M (120.3623 -0.0000) || train (44.4504 68.2563) | 292.4806 M (108.2709 -0.0192)| loss 3.4201 || lr 0.075000-0.015000-0.015000 | Time 2021-08-12 10:49:40
Epoch 000/150: (60.8500 83.6620) | 304.5912 M (120.3623 -0.0000) || train (44.4434 68.1720) | 292.4808 M (108.2710 -0.0192)| loss 3.4224 || lr 0.075000-0.015000-0.015000 | Time 2021-08-12 10:49:40
Epoch 001/150: (63.2340 85.0980) | 304.5267 M (120.2977 -0.0000) || train (55.5810 78.3518) | 295.8259 M (111.6080 -0.0111)| loss 2.8851 || lr 0.074992-0.014998-0.014998 | Time 2021-08-12 11:13:12
Epoch 001/150: (63.2340 85.0980) | 304.5267 M (120.2977 -0.0000) || train (55.4578 78.2661) | 295.8261 M (111.6081 -0.0110)| loss 2.8907 || lr 0.074992-0.014998-0.014998 | Time 2021-08-12 11:13:12
Epoch 002/150: (63.9920 85.8760) | 302.7734 M (118.9507 -0.4062) || train (57.9090 80.1520) | 296.8496 M (112.6936 -0.0729)| loss 2.7784 || lr 0.074967-0.014993-0.014993 | Time 2021-08-12 11:36:59
Epoch 002/150: (63.9920 85.8760) | 302.7734 M (118.9507 -0.4062) || train (58.1198 80.1653) | 296.8496 M (112.6937 -0.0730)| loss 2.7742 || lr 0.074967-0.014993-0.014993 | Time 2021-08-12 11:36:59
Epoch 003/150: (64.3840 86.1920) | 301.1689 M (117.7505 -0.8105) || train (59.0041 80.9210) | 295.5076 M (111.8701 -0.5914)| loss 2.7278 || lr 0.074926-0.014985-0.014985 | Time 2021-08-12 12:00:28
Epoch 003/150: (64.3840 86.1920) | 301.1689 M (117.7505 -0.8105) || train (58.9629 80.9571) | 295.5074 M (111.8701 -0.5916)| loss 2.7273 || lr 0.074926-0.014985-0.014985 | Time 2021-08-12 12:00:28
Epoch 004/150: (64.7360 86.1520) | 298.6946 M (115.5556 -1.0899) || train (59.6234 81.3720) | 294.0178 M (110.6414 -0.8525)| loss 2.6967 || lr 0.074868-0.014974-0.014974 | Time 2021-08-12 12:23:52
Epoch 004/150: (64.7360 86.1520) | 298.6946 M (115.5556 -1.0899) || train (59.4562 81.3338) | 294.0174 M (110.6409 -0.8525)| loss 2.7005 || lr 0.074868-0.014974-0.014974 | Time 2021-08-12 12:23:52
Epoch 005/150: (65.0120 86.3980) | 296.6763 M (113.7129 -1.2656) || train (60.0870 81.6606) | 292.5242 M (109.3576 -1.0623)| loss 2.6732 || lr 0.074795-0.014959-0.014959 | Time 2021-08-12 12:47:16
Epoch 005/150: (65.0120 86.3980) | 296.6763 M (113.7129 -1.2656) || train (59.9798 81.5809) | 292.5239 M (109.3573 -1.0623)| loss 2.6794 || lr 0.074795-0.014959-0.014959 | Time 2021-08-12 12:47:16
Epoch 006/150: (64.4460 86.1680) | 294.9302 M (112.3371 -1.6359) || train (60.3754 81.9115) | 291.0320 M (108.1545 -1.3515)| loss 2.6572 || lr 0.074704-0.014941-0.014941 | Time 2021-08-12 13:10:42
Epoch 006/150: (64.4460 86.1680) | 294.9302 M (112.3371 -1.6359) || train (60.2920 81.8008) | 291.0317 M (108.1543 -1.3515)| loss 2.6609 || lr 0.074704-0.014941-0.014941 | Time 2021-08-12 13:10:42
Epoch 007/150: (64.9620 86.4100) | 293.9385 M (111.7215 -2.0119) || train (60.4778 81.9830) | 289.5466 M (107.0660 -1.7483)| loss 2.6473 || lr 0.074598-0.014920-0.014920 | Time 2021-08-12 13:34:07
