Flops of dymobilenetv2: original 306.942784 M, target 199.5128096 M, possible 220.099888 M, main 188.82848 M, dgc 118.114304 M, mask 1.742832 M
Flops of dymobilenetv2: original 306.942784 M, target 199.5128096 M, possible 220.099888 M, main 188.82848 M, dgc 118.114304 M, mask 1.742832 M
Epoch 000/150: (60.1240 83.2780) | 308.6572 M (118.0859 -0.0001) || train (43.7796 67.5362) | 296.8124 M (106.2602 -0.0192)| loss 3.4569 || lr 0.075000-0.015000-0.015000 | Time 2021-09-14 01:44:20
Epoch 000/150: (60.1240 83.2780) | 308.6572 M (118.0859 -0.0001) || train (43.7863 67.6252) | 296.8125 M (106.2603 -0.0192)| loss 3.4535 || lr 0.075000-0.015000-0.015000 | Time 2021-09-14 01:44:20
Epoch 001/150: (62.2640 84.5980) | 308.5044 M (117.9562 -0.0231) || train (54.8754 77.7233) | 300.1153 M (109.5575 -0.0135)| loss 2.9235 || lr 0.074992-0.014998-0.014998 | Time 2021-09-14 02:02:49
Epoch 001/150: (62.2640 84.5980) | 308.5044 M (117.9562 -0.0231) || train (54.9500 77.8248) | 300.1153 M (109.5575 -0.0135)| loss 2.9202 || lr 0.074992-0.014998-0.014998 | Time 2021-09-14 02:02:49
Epoch 002/150: (62.9080 84.9220) | 308.3359 M (117.8113 -0.0468) || train (57.2631 79.6247) | 301.6470 M (111.1023 -0.0266)| loss 2.8141 || lr 0.074967-0.014993-0.014993 | Time 2021-09-14 02:21:16
Epoch 002/150: (62.9080 84.9220) | 308.3359 M (117.8113 -0.0468) || train (57.1981 79.5377) | 301.6471 M (111.1023 -0.0266)| loss 2.8167 || lr 0.074967-0.014993-0.014993 | Time 2021-09-14 02:21:16
Epoch 003/150: (63.5380 85.5580) | 306.3332 M (116.1986 -0.4367) || train (58.3784 80.3562) | 301.8422 M (111.3694 -0.0985)| loss 2.7671 || lr 0.074926-0.014985-0.014985 | Time 2021-09-14 02:39:43
Epoch 003/150: (63.5380 85.5580) | 306.3332 M (116.1986 -0.4367) || train (58.3518 80.3670) | 301.8421 M (111.3694 -0.0985)| loss 2.7675 || lr 0.074926-0.014985-0.014985 | Time 2021-09-14 02:39:44
Epoch 004/150: (64.2360 85.7740) | 304.6074 M (114.8444 -0.8084) || train (58.8789 80.8150) | 300.4399 M (110.3817 -0.5131)| loss 2.7372 || lr 0.074868-0.014974-0.014974 | Time 2021-09-14 02:58:12
Epoch 004/150: (64.2360 85.7740) | 304.6074 M (114.8444 -0.8084) || train (58.8644 80.7846) | 300.4397 M (110.3816 -0.5133)| loss 2.7386 || lr 0.074868-0.014974-0.014974 | Time 2021-09-14 02:58:12
Epoch 005/150: (64.2800 85.8600) | 302.6635 M (113.1082 -1.0160) || train (59.2082 80.9939) | 299.0144 M (109.3215 -0.8784)| loss 2.7224 || lr 0.074795-0.014959-0.014959 | Time 2021-09-14 03:16:40
Epoch 005/150: (64.2800 85.8600) | 302.6635 M (113.1082 -1.0160) || train (59.1649 80.9174) | 299.0143 M (109.3215 -0.8785)| loss 2.7254 || lr 0.074795-0.014959-0.014959 | Time 2021-09-14 03:16:40
Epoch 006/150: (63.9560 85.4220) | 300.9901 M (111.5939 -1.1751) || train (59.3766 81.1572) | 297.5858 M (108.0173 -1.0028)| loss 2.7121 || lr 0.074704-0.014941-0.014941 | Time 2021-09-14 03:35:09
Epoch 006/150: (63.9560 85.4220) | 300.9901 M (111.5939 -1.1751) || train (59.2875 81.1066) | 297.5861 M (108.0175 -1.0027)| loss 2.7137 || lr 0.074704-0.014941-0.014941 | Time 2021-09-14 03:35:09
Epoch 007/150: (63.7500 85.3440) | 299.8225 M (110.5139 -1.2627) || train (59.5021 81.2754) | 296.1546 M (106.7369 -1.1536)| loss 2.7044 || lr 0.074598-0.014920-0.014920 | Time 2021-09-14 03:53:37
Epoch 007/150: (63.7500 85.3440) | 299.8225 M (110.5139 -1.2627) || train (59.4749 81.2660) | 296.1547 M (106.7370 -1.1537)| loss 2.7041 || lr 0.074598-0.014920-0.014920 | Time 2021-09-14 03:53:37
Epoch 008/150: (64.1520 85.7720) | 298.3292 M (109.3382 -1.5804) || train (59.6051 81.2882) | 294.7230 M (105.4884 -1.3368)| loss 2.6978 || lr 0.074475-0.014895-0.014895 | Time 2021-09-14 04:12:05
Epoch 008/150: (64.1520 85.7720) | 298.3292 M (109.3382 -1.5804) || train (59.5923 81.3391) | 294.7231 M (105.4884 -1.3365)| loss 2.6971 || lr 0.074475-0.014895-0.014895 | Time 2021-09-14 04:12:06
Epoch 009/150: (64.0180 85.9240) | 296.9359 M (108.2816 -1.9170) || train (59.6431 81.4123) | 293.2867 M (104.3120 -1.5966)| loss 2.6904 || lr 0.074336-0.014867-0.014867 | Time 2021-09-14 04:30:34
Epoch 009/150: (64.0180 85.9240) | 296.9359 M (108.2816 -1.9170) || train (59.7040 81.4451) | 293.2868 M (104.3120 -1.5965)| loss 2.6893 || lr 0.074336-0.014867-0.014867 | Time 2021-09-14 04:30:34
Epoch 010/150: (63.7980 85.3100) | 295.4450 M (107.0662 -2.1925) || train (59.8635 81.4810) | 291.8551 M (103.1449 -1.8611)| loss 2.6828 || lr 0.074181-0.014836-0.014836 | Time 2021-09-14 04:49:03
Epoch 010/150: (63.7980 85.3100) | 295.4450 M (107.0662 -2.1925) || train (59.7463 81.4507) | 291.8550 M (103.1449 -1.8611)| loss 2.6864 || lr 0.074181-0.014836-0.014836 | Time 2021-09-14 04:49:03
Epoch 011/150: (63.7260 85.5140) | 293.4945 M (105.3982 -2.4751) || train (59.8683 81.4956) | 290.4212 M (101.9484 -2.0984)| loss 2.6805 || lr 0.074009-0.014802-0.014802 | Time 2021-09-14 05:07:35
Epoch 011/150: (63.7260 85.5140) | 293.4945 M (105.3982 -2.4751) || train (59.9809 81.6079) | 290.4215 M (101.9485 -2.0983)| loss 2.6766 || lr 0.074009-0.014802-0.014802 | Time 2021-09-14 05:07:35
Epoch 012/150: (64.0800 85.8240) | 291.9061 M (103.9615 -2.6268) || train (59.9722 81.6257) | 288.9855 M (100.7330 -2.3188)| loss 2.6731 || lr 0.073822-0.014764-0.014764 | Time 2021-09-14 05:26:04
