Flops of dyresnet18: original 1817.209344 M, target 1635.4884096 M, possible 560.652512 M, main 139.424256 M, dgc 1677.785088 M, mask 1.781984 M
Flops of dyresnet18: original 1817.209344 M, target 1635.4884096 M, possible 560.652512 M, main 139.424256 M, dgc 1677.785088 M, mask 1.781984 M
Epoch 000/120: (62.1540 84.4460) | 1818.7295 M (1677.5233 -0.0000) || train (50.7902 74.2020) | 1702.8119 M (1561.6660 -0.0604)| loss 3.1226 || lr 0.075000-0.015000-0.015000 | Time 2021-11-14 11:26:17
Epoch 000/120: (62.1540 84.4460) | 1818.7295 M (1677.5233 -0.0000) || train (50.7222 74.1633) | 1702.8194 M (1561.6736 -0.0605)| loss 3.1222 || lr 0.075000-0.015000-0.015000 | Time 2021-11-14 11:26:17
Epoch 001/120: (62.8460 84.8960) | 1818.5492 M (1677.3429 -0.0000) || train (57.3024 79.5988) | 1766.0142 M (1624.8162 -0.0083)| loss 2.8197 || lr 0.074987-0.014997-0.014997 | Time 2021-11-14 11:39:00
Epoch 001/120: (62.8460 84.8960) | 1818.5492 M (1677.3429 -0.0000) || train (57.2549 79.4058) | 1766.0133 M (1624.8153 -0.0082)| loss 2.8262 || lr 0.074987-0.014997-0.014997 | Time 2021-11-14 11:39:00
Epoch 002/120: (63.4200 85.3140) | 1817.5953 M (1676.3891 -0.0000) || train (58.7583 80.5899) | 1788.0739 M (1646.8692 -0.0016)| loss 2.7534 || lr 0.074949-0.014990-0.014990 | Time 2021-11-14 11:51:44
Epoch 002/120: (63.4200 85.3140) | 1817.5953 M (1676.3891 -0.0000) || train (58.6832 80.5412) | 1788.0734 M (1646.8687 -0.0016)| loss 2.7557 || lr 0.074949-0.014990-0.014990 | Time 2021-11-14 11:51:44
Epoch 003/120: (63.0700 85.0660) | 1816.6085 M (1675.4022 -0.0000) || train (59.2216 80.9586) | 1796.6724 M (1655.4673 -0.0011)| loss 2.7276 || lr 0.074884-0.014977-0.014977 | Time 2021-11-14 12:04:26
Epoch 003/120: (63.0700 85.0680) | 1816.6085 M (1675.4022 -0.0000) || train (59.2469 80.9553) | 1796.6689 M (1655.4637 -0.0011)| loss 2.7274 || lr 0.074884-0.014977-0.014977 | Time 2021-11-14 12:04:26
Epoch 004/120: (63.6560 85.3900) | 1815.2245 M (1674.0183 -0.0001) || train (59.6794 81.2413) | 1800.0400 M (1658.8364 -0.0027)| loss 2.7072 || lr 0.074795-0.014959-0.014959 | Time 2021-11-14 12:17:10
Epoch 004/120: (63.6560 85.3900) | 1815.2245 M (1674.0183 -0.0001) || train (59.6058 81.2907) | 1800.0437 M (1658.8401 -0.0027)| loss 2.7061 || lr 0.074795-0.014959-0.014959 | Time 2021-11-14 12:17:10
Epoch 005/120: (63.5620 85.4460) | 1812.8074 M (1671.6238 -0.0227) || train (59.8435 81.3322) | 1799.7424 M (1658.5450 -0.0088)| loss 2.6981 || lr 0.074679-0.014936-0.014936 | Time 2021-11-14 12:29:54
Epoch 005/120: (63.5620 85.4460) | 1812.8074 M (1671.6238 -0.0227) || train (59.9003 81.4116) | 1799.7479 M (1658.5504 -0.0088)| loss 2.6935 || lr 0.074679-0.014936-0.014936 | Time 2021-11-14 12:29:54
Epoch 006/120: (63.3700 85.1580) | 1806.0886 M (1664.9119 -0.0295) || train (60.0522 81.5306) | 1796.6058 M (1655.4215 -0.0220)| loss 2.6836 || lr 0.074538-0.014908-0.014908 | Time 2021-11-14 12:42:37
Epoch 006/120: (63.3700 85.1580) | 1806.0886 M (1664.9119 -0.0295) || train (60.0010 81.4977) | 1796.6066 M (1655.4222 -0.0219)| loss 2.6867 || lr 0.074538-0.014908-0.014908 | Time 2021-11-14 12:42:37
Epoch 007/120: (63.3320 85.3000) | 1801.3615 M (1660.1911 -0.0359) || train (60.1498 81.5851) | 1793.6002 M (1652.4317 -0.0377)| loss 2.6776 || lr 0.074372-0.014874-0.014874 | Time 2021-11-14 12:55:20
Epoch 007/120: (63.3320 85.3000) | 1801.3615 M (1660.1911 -0.0359) || train (60.1482 81.5859) | 1793.6057 M (1652.4372 -0.0378)| loss 2.6769 || lr 0.074372-0.014874-0.014874 | Time 2021-11-14 12:55:20
Epoch 008/120: (63.7640 85.7180) | 1797.5943 M (1656.4295 -0.0414) || train (60.1695 81.6628) | 1790.5285 M (1649.3724 -0.0502)| loss 2.6701 || lr 0.074181-0.014836-0.014836 | Time 2021-11-14 13:08:04
Epoch 008/120: (63.7640 85.7180) | 1797.5943 M (1656.4295 -0.0414) || train (60.2219 81.6889) | 1790.5312 M (1649.3753 -0.0504)| loss 2.6697 || lr 0.074181-0.014836-0.014836 | Time 2021-11-14 13:08:04
Epoch 009/120: (63.9660 85.6020) | 1794.6777 M (1653.5311 -0.0596) || train (60.2407 81.7037) | 1787.5520 M (1646.4240 -0.0782)| loss 2.6662 || lr 0.073964-0.014793-0.014793 | Time 2021-11-14 13:20:47
Epoch 009/120: (63.9660 85.6020) | 1794.6778 M (1653.5311 -0.0596) || train (60.2887 81.6781) | 1787.5480 M (1646.4200 -0.0783)| loss 2.6667 || lr 0.073964-0.014793-0.014793 | Time 2021-11-14 13:20:48
Epoch 010/120: (63.7040 85.6820) | 1790.3879 M (1649.2438 -0.0622) || train (60.4683 81.8480) | 1784.5552 M (1643.4577 -0.1088)| loss 2.6566 || lr 0.073722-0.014744-0.014744 | Time 2021-11-14 13:33:32
Epoch 010/120: (63.7040 85.6820) | 1790.3879 M (1649.2438 -0.0622) || train (60.3367 81.7707) | 1784.5483 M (1643.4503 -0.1083)| loss 2.6614 || lr 0.073722-0.014744-0.014744 | Time 2021-11-14 13:33:33
Epoch 011/120: (64.0180 85.8380) | 1787.2782 M (1646.1532 -0.0812) || train (60.3449 81.7694) | 1781.5216 M (1640.4681 -0.1528)| loss 2.6568 || lr 0.073456-0.014691-0.014691 | Time 2021-11-14 13:46:16
Epoch 011/120: (64.0180 85.8380) | 1787.2782 M (1646.1532 -0.0812) || train (60.5791 81.9468) | 1781.5135 M (1640.4600 -0.1528)| loss 2.6486 || lr 0.073456-0.014691-0.014691 | Time 2021-11-14 13:46:17
Epoch 012/120: (64.0680 85.8320) | 1783.8407 M (1642.8798 -0.2453) || train (60.5215 81.9579) | 1778.5749 M (1637.6079 -0.2393)| loss 2.6474 || lr 0.073165-0.014633-0.014633 | Time 2021-11-14 13:59:00
Epoch 012/120: (64.0680 85.8320) | 1783.8407 M (1642.8798 -0.2453) || train (60.5081 81.8961) | 1778.5707 M (1637.6037 -0.2393)| loss 2.6495 || lr 0.073165-0.014633-0.014633 | Time 2021-11-14 13:59:00
Epoch 013/120: (62.4660 84.5460) | 1781.2617 M (1640.3699 -0.3145) || train (60.6141 81.9661) | 1775.5467 M (1634.6862 -0.3458)| loss 2.6434 || lr 0.072849-0.014570-0.014570 | Time 2021-11-14 14:11:44
Epoch 013/120: (62.4660 84.5460) | 1781.2617 M (1640.3700 -0.3145) || train (60.6270 82.0142) | 1775.5490 M (1634.6886 -0.3458)| loss 2.6416 || lr 0.072849-0.014570-0.014570 | Time 2021-11-14 14:11:45
Epoch 014/120: (64.3320 85.8520) | 1777.2987 M (1636.6769 -0.5844) || train (60.7024 82.0778) | 1772.4746 M (1631.7397 -0.4714)| loss 2.6375 || lr 0.072509-0.014502-0.014502 | Time 2021-11-14 14:24:27
Epoch 014/120: (64.3320 85.8520) | 1777.2987 M (1636.6769 -0.5844) || train (60.6169 82.0116) | 1772.4772 M (1631.7417 -0.4708)| loss 2.6399 || lr 0.072509-0.014502-0.014502 | Time 2021-11-14 14:24:28
Epoch 015/120: (64.3680 86.0760) | 1774.3216 M (1633.8312 -0.7159) || train (60.6982 82.0693) | 1769.4429 M (1628.7925 -0.5559)| loss 2.6342 || lr 0.072145-0.014429-0.014429 | Time 2021-11-14 14:37:12
Epoch 015/120: (64.3680 86.0760) | 1774.3216 M (1633.8312 -0.7159) || train (60.7730 82.1291) | 1769.4474 M (1628.7967 -0.5556)| loss 2.6323 || lr 0.072145-0.014429-0.014429 | Time 2021-11-14 14:37:12
Epoch 016/120: (64.3160 85.8960) | 1770.2860 M (1629.9283 -0.8486) || train (60.8943 82.1194) | 1766.4220 M (1625.8994 -0.6836)| loss 2.6298 || lr 0.071758-0.014352-0.014352 | Time 2021-11-14 14:49:55
Epoch 016/120: (64.3160 85.8960) | 1770.2860 M (1629.9283 -0.8486) || train (60.9675 82.1753) | 1766.4213 M (1625.8992 -0.6841)| loss 2.6261 || lr 0.071758-0.014352-0.014352 | Time 2021-11-14 14:49:55
Epoch 017/120: (64.4660 86.1080) | 1768.3497 M (1627.9668 -0.8233) || train (60.9781 82.2228) | 1763.4490 M (1623.0010 -0.7583)| loss 2.6233 || lr 0.071347-0.014269-0.014269 | Time 2021-11-14 15:02:40
Epoch 017/120: (64.4660 86.1120) | 1768.3497 M (1627.9668 -0.8233) || train (60.8762 82.1789) | 1763.4516 M (1623.0038 -0.7585)| loss 2.6267 || lr 0.071347-0.014269-0.014269 | Time 2021-11-14 15:02:40
Epoch 018/120: (64.5280 86.0060) | 1763.7141 M (1623.4781 -0.9703) || train (61.0320 82.3584) | 1760.3897 M (1620.0526 -0.8692)| loss 2.6184 || lr 0.070913-0.014183-0.014183 | Time 2021-11-14 15:15:23
Epoch 018/120: (64.5280 86.0060) | 1763.7141 M (1623.4781 -0.9703) || train (61.0285 82.2571) | 1760.3868 M (1620.0489 -0.8684)| loss 2.6187 || lr 0.070913-0.014183-0.014183 | Time 2021-11-14 15:15:23
Epoch 019/120: (64.7940 86.1580) | 1760.8884 M (1620.8111 -1.1289) || train (61.1010 82.3728) | 1757.4209 M (1617.2048 -0.9902)| loss 2.6152 || lr 0.070456-0.014091-0.014091 | Time 2021-11-14 15:28:08
Epoch 019/120: (64.7940 86.1580) | 1760.8884 M (1620.8111 -1.1289) || train (61.1392 82.3881) | 1757.4212 M (1617.2063 -0.9914)| loss 2.6131 || lr 0.070456-0.014091-0.014091 | Time 2021-11-14 15:28:08
Epoch 020/120: (64.5960 85.9860) | 1758.1118 M (1618.2155 -1.3099) || train (61.2196 82.4473) | 1754.3996 M (1614.3819 -1.1886)| loss 2.6098 || lr 0.069976-0.013995-0.013995 | Time 2021-11-14 15:40:52
Epoch 020/120: (64.5960 85.9880) | 1758.1118 M (1618.2155 -1.3099) || train (61.1729 82.4120) | 1754.4029 M (1614.3855 -1.1888)| loss 2.6113 || lr 0.069976-0.013995-0.013995 | Time 2021-11-14 15:40:52
Epoch 021/120: (64.6420 86.1420) | 1754.1755 M (1614.4985 -1.5294) || train (61.2894 82.4281) | 1751.3304 M (1611.4952 -1.3711)| loss 2.6089 || lr 0.069474-0.013895-0.013895 | Time 2021-11-14 15:53:35
Epoch 021/120: (64.6420 86.1420) | 1754.1755 M (1614.4985 -1.5294) || train (61.2944 82.5274) | 1751.3265 M (1611.4918 -1.3716)| loss 2.6027 || lr 0.069474-0.013895-0.013895 | Time 2021-11-14 15:53:36
Epoch 022/120: (64.2560 85.8560) | 1750.9407 M (1611.6455 -1.9111) || train (61.3219 82.4680) | 1748.3033 M (1608.6460 -1.5489)| loss 2.6038 || lr 0.068950-0.013790-0.013790 | Time 2021-11-14 16:06:20
Epoch 022/120: (64.2560 85.8560) | 1750.9407 M (1611.6455 -1.9111) || train (61.4659 82.4986) | 1748.3024 M (1608.6457 -1.5496)| loss 2.5999 || lr 0.068950-0.013790-0.013790 | Time 2021-11-14 16:06:20
Epoch 023/120: (64.8220 86.1520) | 1746.8771 M (1607.5415 -1.8707) || train (61.4127 82.5484) | 1745.2739 M (1605.7437 -1.6761)| loss 2.5979 || lr 0.068405-0.013681-0.013681 | Time 2021-11-14 16:19:04
Epoch 023/120: (64.8220 86.1520) | 1746.8771 M (1607.5415 -1.8707) || train (61.4542 82.5848) | 1745.2698 M (1605.7399 -1.6764)| loss 2.5982 || lr 0.068405-0.013681-0.013681 | Time 2021-11-14 16:19:04
Epoch 024/120: (64.4900 86.1580) | 1743.3565 M (1604.3179 -2.1677) || train (61.4912 82.6800) | 1742.2906 M (1602.8584 -1.7740)| loss 2.5923 || lr 0.067838-0.013568-0.013568 | Time 2021-11-14 16:31:47
Epoch 024/120: (64.4900 86.1580) | 1743.3565 M (1604.3179 -2.1677) || train (61.5749 82.5889) | 1742.2917 M (1602.8595 -1.7741)| loss 2.5941 || lr 0.067838-0.013568-0.013568 | Time 2021-11-14 16:31:48
Epoch 025/120: (65.2460 86.2500) | 1739.7719 M (1600.9827 -2.4170) || train (61.5890 82.7373) | 1739.2123 M (1599.9136 -1.9076)| loss 2.5888 || lr 0.067251-0.013450-0.013450 | Time 2021-11-14 16:44:32
Epoch 025/120: (65.2460 86.2480) | 1739.7719 M (1600.9826 -2.4170) || train (61.5963 82.7423) | 1739.2079 M (1599.9109 -1.9092)| loss 2.5882 || lr 0.067251-0.013450-0.013450 | Time 2021-11-14 16:44:33
Epoch 026/120: (64.4500 85.9300) | 1736.9303 M (1598.1325 -2.4085) || train (61.7794 82.8241) | 1736.2033 M (1597.0899 -2.0928)| loss 2.5821 || lr 0.066643-0.013329-0.013329 | Time 2021-11-14 16:57:16
Epoch 026/120: (64.4500 85.9300) | 1736.9303 M (1598.1325 -2.4085) || train (61.6398 82.7749) | 1736.2034 M (1597.0919 -2.0947)| loss 2.5854 || lr 0.066643-0.013329-0.013329 | Time 2021-11-14 16:57:16
Epoch 027/120: (64.8840 86.4820) | 1734.1020 M (1595.8789 -2.9832) || train (61.8153 82.8339) | 1733.1847 M (1594.3498 -2.3713)| loss 2.5825 || lr 0.066015-0.013203-0.013203 | Time 2021-11-14 17:10:02
Epoch 027/120: (64.8840 86.4820) | 1734.1020 M (1595.8789 -2.9832) || train (61.7466 82.8983) | 1733.1857 M (1594.3512 -2.3717)| loss 2.5784 || lr 0.066015-0.013203-0.013203 | Time 2021-11-14 17:10:02
Epoch 028/120: (65.0640 86.2480) | 1730.7633 M (1592.3778 -2.8207) || train (61.8398 82.8876) | 1730.1479 M (1591.4447 -2.5031)| loss 2.5779 || lr 0.065368-0.013074-0.013074 | Time 2021-11-14 17:22:46
Epoch 028/120: (65.0640 86.2500) | 1730.7633 M (1592.3778 -2.8207) || train (61.9316 82.8745) | 1730.1472 M (1591.4433 -2.5024)| loss 2.5765 || lr 0.065368-0.013074-0.013074 | Time 2021-11-14 17:22:46
Epoch 029/120: (65.1580 86.3720) | 1726.7325 M (1588.5499 -3.0237) || train (61.9825 82.9462) | 1727.1334 M (1588.5224 -2.5952)| loss 2.5717 || lr 0.064702-0.012940-0.012940 | Time 2021-11-14 17:35:30
Epoch 029/120: (65.1580 86.3720) | 1726.7325 M (1588.5499 -3.0237) || train (61.8849 82.9317) | 1727.1383 M (1588.5262 -2.5942)| loss 2.5732 || lr 0.064702-0.012940-0.012940 | Time 2021-11-14 17:35:31
