Flops of dyresnet50: original 4050.649088 M, target 1851.146633216 M, possible 1365.906432 M, main 441.188352 M, dgc 3617.087488 M, mask 20.446208 M
Flops of dyresnet50: original 4050.649088 M, target 1851.146633216 M, possible 1365.906432 M, main 441.188352 M, dgc 3617.087488 M, mask 20.446208 M
Epoch 000/120: (63.5000 85.7780) | 4078.0977 M (3616.8526 -0.3894) || train (56.0773 78.9105) | 3602.2137 M (3260.8112 -120.2321)| loss 2.8373 || lr 0.075000-0.015000-0.015000 | Time 2021-08-17 17:39:20
Epoch 000/120: (63.5000 85.7780) | 4078.0977 M (3616.8526 -0.3894) || train (56.0579 78.8754) | 3602.2019 M (3260.8048 -120.2374)| loss 2.8368 || lr 0.075000-0.015000-0.015000 | Time 2021-08-17 17:39:20
Epoch 001/120: (67.0460 88.4120) | 4078.1767 M (3616.8600 -0.3178) || train (62.5119 83.5787) | 3738.9953 M (3340.9872 -63.6265)| loss 2.5422 || lr 0.074987-0.014997-0.014997 | Time 2021-08-17 18:20:10
Epoch 001/120: (67.0460 88.4120) | 4078.1767 M (3616.8600 -0.3178) || train (62.4229 83.5358) | 3738.9922 M (3340.9876 -63.6300)| loss 2.5450 || lr 0.074987-0.014997-0.014997 | Time 2021-08-17 18:20:10
Epoch 002/120: (68.3460 88.9120) | 4078.0759 M (3616.7461 -0.3048) || train (64.4596 84.9242) | 3799.1979 M (3381.5964 -44.0331)| loss 2.4473 || lr 0.074949-0.014990-0.014990 | Time 2021-08-17 19:00:58
Epoch 002/120: (68.3460 88.9120) | 4078.0759 M (3616.7461 -0.3048) || train (64.5559 84.9775) | 3799.2114 M (3381.6072 -44.0304)| loss 2.4443 || lr 0.074949-0.014990-0.014990 | Time 2021-08-17 19:00:58
Epoch 003/120: (69.7520 89.6320) | 4077.9666 M (3616.6066 -0.2746) || train (65.5104 85.6291) | 3836.7660 M (3408.6701 -33.5386)| loss 2.3921 || lr 0.074884-0.014977-0.014977 | Time 2021-08-17 19:41:42
Epoch 003/120: (69.7520 89.6320) | 4077.9666 M (3616.6066 -0.2746) || train (65.7019 85.6787) | 3836.7542 M (3408.6577 -33.5381)| loss 2.3885 || lr 0.074884-0.014977-0.014977 | Time 2021-08-17 19:41:42
Epoch 004/120: (69.8260 89.7880) | 4076.5441 M (3615.5030 -0.5934) || train (66.2411 86.1248) | 3862.4603 M (3428.0256 -27.1999)| loss 2.3553 || lr 0.074795-0.014959-0.014959 | Time 2021-08-17 20:22:30
Epoch 004/120: (69.8260 89.7880) | 4076.5441 M (3615.5030 -0.5934) || train (66.3868 86.1490) | 3862.4444 M (3428.0220 -27.2121)| loss 2.3536 || lr 0.074795-0.014959-0.014959 | Time 2021-08-17 20:22:30
Epoch 005/120: (69.6940 89.7520) | 4061.2712 M (3605.4092 -5.7726) || train (66.7169 86.3585) | 3847.2119 M (3415.3770 -29.7997)| loss 2.3339 || lr 0.074679-0.014936-0.014936 | Time 2021-08-17 21:03:20
Epoch 005/120: (69.6940 89.7520) | 4061.2712 M (3605.4092 -5.7726) || train (66.6742 86.3985) | 3847.2056 M (3415.3739 -29.8029)| loss 2.3356 || lr 0.074679-0.014936-0.014936 | Time 2021-08-17 21:03:20
Epoch 006/120: (69.7600 89.6000) | 4026.2518 M (3587.3017 -22.6845) || train (66.9706 86.5819) | 3810.3414 M (3387.4491 -38.7422)| loss 2.3174 || lr 0.074538-0.014908-0.014908 | Time 2021-08-17 21:44:06
Epoch 006/120: (69.7600 89.6000) | 4026.2518 M (3587.3017 -22.6845) || train (66.9253 86.5431) | 3810.3338 M (3387.4420 -38.7428)| loss 2.3209 || lr 0.074538-0.014908-0.014908 | Time 2021-08-17 21:44:06
Epoch 007/120: (69.5780 89.6240) | 3981.9705 M (3564.9205 -44.5846) || train (67.1767 86.6889) | 3773.5124 M (3361.2867 -49.4089)| loss 2.3069 || lr 0.074372-0.014874-0.014874 | Time 2021-08-17 22:24:53
Epoch 007/120: (69.5780 89.6240) | 3981.9705 M (3564.9205 -44.5846) || train (67.1927 86.6999) | 3773.5235 M (3361.2898 -49.4008)| loss 2.3054 || lr 0.074372-0.014874-0.014874 | Time 2021-08-17 22:24:53
