Flops of dyresnet50: original 4050.649088 M, target 1851.146633216 M, possible 1354.224128 M, main 441.188352 M, dgc 3609.460736 M, mask 10.670592 M
Flops of dyresnet50: original 4050.649088 M, target 1851.146633216 M, possible 1354.224128 M, main 441.188352 M, dgc 3609.460736 M, mask 10.670592 M
Epoch 000/120: (63.2620 85.7840) | 4059.4185 M (3608.4234 -0.8638) || train (55.7802 78.6490) | 3588.3472 M (3255.1896 -118.7014)| loss 2.8604 || lr 0.075000-0.015000-0.015000 | Time 2021-08-11 02:12:47
Epoch 000/120: (63.2620 85.7840) | 4059.4185 M (3608.4234 -0.8638) || train (55.7188 78.5936) | 3588.3537 M (3255.1939 -118.6992)| loss 2.8625 || lr 0.075000-0.015000-0.015000 | Time 2021-08-11 02:12:47
Epoch 001/120: (66.4320 87.6500) | 4058.3096 M (3607.6576 -1.2070) || train (61.8456 83.1199) | 3720.1933 M (3333.0808 -64.7465)| loss 2.5854 || lr 0.074987-0.014997-0.014997 | Time 2021-08-11 02:52:40
Epoch 001/120: (66.4320 87.6500) | 4058.3096 M (3607.6576 -1.2070) || train (61.8205 83.1170) | 3720.2049 M (3333.0906 -64.7447)| loss 2.5847 || lr 0.074987-0.014997-0.014997 | Time 2021-08-11 02:52:40
Epoch 002/120: (67.1200 88.3540) | 4055.9428 M (3606.5903 -2.5064) || train (63.8335 84.4801) | 3775.0870 M (3370.9323 -47.7042)| loss 2.4923 || lr 0.074949-0.014990-0.014990 | Time 2021-08-11 03:32:33
Epoch 002/120: (67.1200 88.3540) | 4055.9428 M (3606.5903 -2.5064) || train (63.6564 84.3880) | 3775.0787 M (3370.9287 -47.7089)| loss 2.4968 || lr 0.074949-0.014990-0.014990 | Time 2021-08-11 03:32:33
Epoch 003/120: (69.1580 89.2940) | 4052.1987 M (3604.7899 -4.4501) || train (64.7028 85.0268) | 3807.1870 M (3395.0078 -39.6798)| loss 2.4466 || lr 0.074884-0.014977-0.014977 | Time 2021-08-11 04:12:23
Epoch 003/120: (69.1580 89.2940) | 4052.1987 M (3604.7899 -4.4501) || train (64.7364 85.0649) | 3807.1977 M (3395.0152 -39.6764)| loss 2.4458 || lr 0.074884-0.014977-0.014977 | Time 2021-08-11 04:12:23
Epoch 004/120: (69.0540 89.1560) | 4048.0397 M (3602.5436 -6.3628) || train (65.4354 85.5188) | 3827.5088 M (3411.4150 -35.7651)| loss 2.4112 || lr 0.074795-0.014959-0.014959 | Time 2021-08-11 04:52:08
Epoch 004/120: (69.0540 89.1560) | 4048.0397 M (3602.5436 -6.3628) || train (65.2743 85.3904) | 3827.5065 M (3411.4163 -35.7688)| loss 2.4153 || lr 0.074795-0.014959-0.014959 | Time 2021-08-11 04:52:08
Epoch 005/120: (68.6620 89.0100) | 4039.6341 M (3597.5047 -9.7295) || train (65.8026 85.7633) | 3838.0219 M (3420.4702 -34.3073)| loss 2.3892 || lr 0.074679-0.014936-0.014936 | Time 2021-08-11 05:31:53
Epoch 005/120: (68.6620 89.0100) | 4039.6341 M (3597.5047 -9.7295) || train (65.9300 85.7603) | 3838.0377 M (3420.4804 -34.3017)| loss 2.3875 || lr 0.074679-0.014936-0.014936 | Time 2021-08-11 05:31:53
Epoch 006/120: (68.8900 89.0440) | 4018.1513 M (3583.3149 -17.0226) || train (66.0043 85.9129) | 3810.3775 M (3399.5185 -40.9999)| loss 2.3753 || lr 0.074538-0.014908-0.014908 | Time 2021-08-11 06:11:38
Epoch 006/120: (68.8900 89.0440) | 4018.1513 M (3583.3149 -17.0226) || train (66.0415 85.8710) | 3810.3969 M (3399.5299 -40.9920)| loss 2.3746 || lr 0.074538-0.014908-0.014908 | Time 2021-08-11 06:11:38
Epoch 007/120: (69.1060 89.2300) | 3984.3732 M (3563.6554 -31.1412) || train (66.2386 86.0460) | 3773.6148 M (3372.0389 -50.2830)| loss 2.3648 || lr 0.074372-0.014874-0.014874 | Time 2021-08-11 06:51:26
Epoch 007/120: (69.1060 89.2300) | 3984.3732 M (3563.6554 -31.1412) || train (66.2208 86.0170) | 3773.6369 M (3372.0492 -50.2712)| loss 2.3644 || lr 0.074372-0.014874-0.014874 | Time 2021-08-11 06:51:26
Epoch 008/120: (68.9560 89.1560) | 3949.4081 M (3544.8421 -47.2929) || train (66.3505 86.0947) | 3736.7765 M (3345.3323 -60.4148)| loss 2.3525 || lr 0.074181-0.014836-0.014836 | Time 2021-08-11 07:31:13
Epoch 008/120: (68.9560 89.1560) | 3949.4081 M (3544.8421 -47.2929) || train (66.4857 86.1790) | 3736.7684 M (3345.3307 -60.4212)| loss 2.3503 || lr 0.074181-0.014836-0.014836 | Time 2021-08-11 07:31:13
Epoch 009/120: (69.4160 89.2520) | 3906.8847 M (3520.7630 -65.7372) || train (66.7354 86.3618) | 3700.0739 M (3318.8639 -70.6490)| loss 2.3370 || lr 0.073964-0.014793-0.014793 | Time 2021-08-11 08:10:57
Epoch 009/120: (69.4160 89.2520) | 3906.8847 M (3520.7630 -65.7372) || train (66.6236 86.2909) | 3700.0753 M (3318.8717 -70.6553)| loss 2.3401 || lr 0.073964-0.014793-0.014793 | Time 2021-08-11 08:10:57
Epoch 010/120: (69.4520 89.4100) | 3868.9805 M (3496.4958 -79.3742) || train (66.7588 86.4124) | 3663.3138 M (3291.1452 -79.6903)| loss 2.3323 || lr 0.073722-0.014744-0.014744 | Time 2021-08-11 08:50:46
Epoch 010/120: (69.4520 89.4100) | 3868.9805 M (3496.4958 -79.3742) || train (66.8184 86.4274) | 3663.3333 M (3291.1568 -79.6824)| loss 2.3299 || lr 0.073722-0.014744-0.014744 | Time 2021-08-11 08:50:46
Epoch 011/120: (69.5240 89.6920) | 3828.5860 M (3463.6367 -86.9096) || train (67.0409 86.6002) | 3626.6006 M (3261.2872 -86.5455)| loss 2.3171 || lr 0.073456-0.014691-0.014691 | Time 2021-08-11 09:30:36
Epoch 011/120: (69.5240 89.6920) | 3828.5860 M (3463.6367 -86.9096) || train (66.9314 86.4636) | 3626.5930 M (3261.2876 -86.5535)| loss 2.3249 || lr 0.073456-0.014691-0.014691 | Time 2021-08-11 09:30:36
Epoch 012/120: (69.5920 89.6120) | 3786.8754 M (3427.3078 -92.2914) || train (67.1234 86.6506) | 3589.9332 M (3228.8528 -90.7786)| loss 2.3117 || lr 0.073165-0.014633-0.014633 | Time 2021-08-11 10:10:27
Epoch 012/120: (69.5920 89.6120) | 3786.8754 M (3427.3078 -92.2914) || train (67.1771 86.5899) | 3589.9596 M (3228.8722 -90.7715)| loss 2.3136 || lr 0.073165-0.014633-0.014633 | Time 2021-08-11 10:10:27
Epoch 013/120: (69.0440 89.5180) | 3731.2035 M (3371.8469 -92.5024) || train (67.2617 86.7046) | 3553.0159 M (3194.0764 -92.9195)| loss 2.3033 || lr 0.072849-0.014570-0.014570 | Time 2021-08-11 10:50:20
